id,protocolo,status,aceiteInstrucoes,dataCriacao,dataAtualizacao
34,PRP-2025-000034,FINALIZADA,sim,2025-03-17,2025-05-25
35,PRP-2025-000035,FINALIZADA,sim,2025-03-15,2025-05-24
36,PRP-2025-000036,FINALIZADA,sim,2025-03-18,2025-05-28
37,PRP-2025-000037,FINALIZADA,sim,2025-03-21,2025-06-01
38,PRP-2025-000038,FINALIZADA,sim,2025-03-24,2025-06-05
39,PRP-2025-000039,FINALIZADA,sim,2025-03-27,2025-06-09
40,PRP-2025-000040,FINALIZADA,sim,2025-03-25,2025-06-08
41,PRP-2025-000041,FINALIZADA,sim,2025-03-28,2025-06-12
42,PRP-2025-000042,FINALIZADA,sim,2025-03-31,2025-06-16
43,PRP-2025-000043,FINALIZADA,sim,2025-04-03,2025-06-20
44,PRP-2025-000044,FINALIZADA,sim,2025-04-06,2025-06-24
45,PRP-2025-000045,FINALIZADA,sim,2025-04-04,2025-06-23
46,PRP-2025-000046,FINALIZADA,sim,2025-04-07,2025-06-27
47,PRP-2025-000047,FINALIZADA,sim,2025-04-10,2025-99-99
48,PRP-2025-000048,FINALIZADA,sim,2025-04-13,2025-07-05
49,PRP-2025-000049,FINALIZADA,sim,2025-04-16,2025-07-09
50,PRP-2025-000050,FINALIZADA,sim,2025-04-14,2025-06-13
51,PRP-2025-000051,FINALIZADA,sim,2025-04-17,2025-06-17
52,PRP-2025-000052,FINALIZADA,sim,2025-04-20,2025-06-21
53,PRP-2025-000053,FINALIZADA,sim,2025-04-23,2025-06-25
54,PRP-2025-000054,FINALIZADA,sim,2025-04-26,2025-06-29
55,PRP-2025-000055,FINALIZADA,sim,2025-04-24,2025-06-28
56,PRP-2025-000056,FINALIZADA,sim,2025-04-27,2025-07-02
57,PRP-2025-000057,FINALIZADA,sim,2025-04-30,2025-07-06
58,PRP-2025-000058,FINALIZADA,sim,2025-05-03,2025-07-10
59,PRP-2025-000059,FINALIZADA,sim,2025-05-06,2025-07-14
60,PRP-2025-000060,FINALIZADA,sim,2025-05-04,2025-07-13
61,PRP-2025-000061,FINALIZADA,sim,2025-05-07,2025-07-17
62,PRP-2025-000062,FINALIZADA,sim,2025-05-10,2025-07-21
63,PRP-2025-000063,FINALIZADA,sim,2025-05-13,2025-07-25
64,PRP-2025-000064,FINALIZADA,TALVEZ,2025-05-16,2025-07-29
65,PRP-2025-000065,FINALIZADA,sim,2025-05-14,2025-07-28
66,PRP-2025-000066,FINALIZADA,sim,2025-05-17,2025-08-01
67,PRP-2025-000067,FINALIZADA,sim,2025-05-20,2025-08-05
68,PRP-2025-000068,FINALIZADA,sim,2025-05-23,2025-08-09
69,PRP-2025-000069,FINALIZADA,sim,2025-05-26,2025-08-13
70,PRP-2025-000070,FINALIZADA,sim,2025-05-24,2025-08-12
71,PRP-2025-000071,FINALIZADA,sim,2025-05-27,2025-08-16
72,PRP-2025-000072,FINALIZADA,sim,2025-05-30,2025-08-20
73,PRP-2025-000073,FINALIZADA,sim,2025-06-02,2025-08-24
74,PRP-2025-000074,FINALIZADA,sim,2025-06-05,2025-08-28
75,PRP-2025-000075,FINALIZADA,sim,2025-06-03,2025-08-02
76,PRP-2025-000076,FINALIZADA,sim,2025-06-06,2025-08-06
77,PRP-2025-000077,FINALIZADA,sim,2025-06-09,2025-08-10
78,PRP-2025-000078,FINALIZADA,sim,2025-06-12,2025-08-14
79,PRP-2025-000079,FINALIZADA,sim,2025-06-15,2025-08-18
80,PRP-2025-000080,FINALIZADA,sim,2025-06-13,2025-08-17
81,PRP-2025-000081,FINALIZADA,sim,2025-06-16,2025-08-21
82,PRP-2025-000082,FINALIZADA,sim,2025-06-19,2025-08-25
83,PRP-2025-000083,FINALIZADA,sim,2025-06-22,2025-08-29
84,PRP-2025-000084,FINALIZADA,sim,2025-06-25,2025-09-02
85,PRP-2025-000085,FINALIZADA,sim,2025-06-23,2025-09-01
86,PRP-2025-000086,FINALIZADA,sim,2025-06-26,2025-09-05
87,PRP-2025-000087,FINALIZADA,sim,2025-06-29,2025-09-09
88,PRP-2025-000088,FINALIZADA,sim,2025-07-02,2025-09-13
89,PRP-2025-000089,FINALIZADA,sim,2025-07-05,2025-09-17
90,PRP-2025-000090,FINALIZADA,sim,2025-07-03,2025-09-16
91,PRP-2025-000091,FINALIZADA,sim,2025-07-06,2025-09-20
92,PRP-2025-000092,FINALIZADA,sim,2025-07-09,2025-09-24
93,PRP-2025-000093,FINALIZADA,sim,2025-07-12,2025-09-28
94,PRP-2025-000094,FINALIZADA,sim,2025-07-15,2025-10-02
95,PRP-2025-000095,FINALIZADA,sim,2025-07-13,2025-10-01
96,PRP-2025-000096,FINALIZADA,sim,2025-07-16,2025-10-05
97,PRP-2025-000097,FINALIZADA,sim,2025-07-19,2025-10-09
98,PRP-2025-000098,FINALIZADA,sim,2025-07-22,2025-10-13
99,PRP-2025-000099,FINALIZADA,sim,2025-07-25,2025-10-17
100,PRP-2025-000100,FINALIZADA,sim,2025-07-23,2025-09-21
101,PRP-2025-000101,EM_ANALISE,sim,2025-07-26,2025-08-10
102,PRP-2025-000102,EM_ANALISE,sim,2025-07-29,2025-08-14
103,PRP-2025-000103,EM_ANALISE,sim,2025-08-01,2025-08-18
104,PRP-2025-000104,EM_ANALISE,sim,2025-08-04,2025-08-22
105,PRP-2025-000105,EM_ANALISE,sim,2025-08-02,2025-08-21
106,PRP-2025-000106,EM_ANALISE,sim,2025-08-05,2025-08-25
107,PRP-2025-000107,EM_ANALISE,sim,2025-08-08,2025-08-29
108,PRP-2025-000108,EM_ANALISE,sim,2025-08-11,2025-08-21
109,PRP-2025-000109,EM_ANALISE,sim,2025-08-14,2025-08-25
110,PRP-2025-000110,EM_ANALISE,sim,2025-08-12,2025-08-24
111,PRP-2025-000111,EM_ANALISE,sim,2025-08-15,2025-08-28
112,PRP-2025-000112,EM_ANALISE,sim,2025-08-18,2025-09-01
113,PRP-2025-000113,EM_ANALISE,sim,2025-08-21,2025-09-05
114,PRP-2025-000114,EM_ANALISE,sim,2025-08-24,2025-09-09
115,PRP-2025-000115,EM_ANALISE,sim,2025-08-22,2025-09-08
116,PRP-2025-000116,EM_ANALISE,sim,2025-08-25,2025-09-12
117,PRP-2025-000117,EM_ANALISE,sim,2025-08-28,2025-09-16
118,PRP-2025-000118,EM_ANALISE,sim,2025-08-31,
119,PRP-2025-000119,EM_ANALISE,sim,2025-09-03,2025-09-24
120,PRP-2025-000120,EM_ANALISE,sim,2025-09-01,2025-09-11
121,PRP-2025-000121,EM_ANALISE,sim,2025-09-04,2025-09-15
122,PRP-2025-000122,EM_ANALISE,sim,2025-09-07,2025-09-19
123,PRP-2025-000123,EM_ANALISE,sim,2025-09-10,2025-09-23
124,PRP-2025-000124,EM_ANALISE,sim,2025-09-13,2025-09-27
125,PRP-2025-000125,EM_ANALISE,sim,2025-09-11,2025-09-26
126,PRP-2025-000126,EM_ANALISE,sim,2025-09-14,2025-09-30
127,PRP-2025-000127,EM_ANALISE,sim,2025-09-17,2025-10-04
128,PRP-2025-000128,EM_ANALISE,sim,2025-09-20,2025-10-08
129,PRP-2025-000129,EM_ANALISE,sim,2025-09-23,2025-10-12
130,PRP-2025-000130,EM_ANALISE,sim,2025-09-21,2025-10-11
131,PRP-2025-000131,REGISTRADA,sim,2025-09-24,2025-10-02
132,PRP-2025-000132,REGISTRADA,sim,2025-09-27,2025-10-06
133,PRP-2025-000133,REGISTRADA,sim,2025-09-30,2025-10-03
134,PRP-2025-000134,REGISTRADA,sim,2025-10-03,2025-10-07
135,PRP-2025-000135,REGISTRADA,sim,2025-10-01,2025-10-06
136,PRP-2025-000136,REGISTRADA,sim,2025-10-04,2025-10-10
137,PRP-2025-000137,REGISTRADA,sim,2025-10-07,2025-10-14
138,PRP-2025-000138,REGISTRADA,sim,2025-10-10,2025-10-18
139,PRP-2025-000139,REGISTRADA,sim,2025-10-13,2025-10-22
140,PRP-2025-000140,REGISTRADA,sim,2025-10-11,2025-10-14
141,PRP-2025-000141,REGISTRADA,sim,2025-10-14,2025-10-18
142,PRP-2025-000142,REGISTRADA,sim,2025-10-17,2025-10-22
143,PRP-2025-000143,REGISTRADA,sim,2025-10-20,2025-10-26
144,PRP-2025-000144,REGISTRADA,sim,2025-10-23,2025-10-30
145,PRP-2025-000145,REGISTRADA,sim,2025-10-21,2025-10-29
146,PRP-2025-000146,REGISTRADA,sim,2025-10-24,2025-11-02
147,PRP-2025-000147,REGISTRADA,sim,2025-10-27,2025-10-30
148,PRP-2025-000148,REGISTRADA,sim,2025-10-30,2025-11-03
149,PRP-2025-000149,REGISTRADA,sim,2025-11-02,2025-11-07
150,PRP-2025-000150,REGISTRADA,sim,2025-10-31,2025-11-06
